participant.code,owner__session__code,round,owner__volatility,name,timestamp,unix_timestamp,secs_since_round_starts,body,data,Index,slider_value,clicked_volatility
03uv6wi9,w326f36h,4,0.1,Decision_volatility_changed,2021-11-08 10:09:59.335890+00:00,1636366199,5,"{'volatility': 3, 'old_volatility': 1, 'secs_since_round_starts': 5}",nan,nan,,3.0
03uv6wi9,w326f36h,4,0.1,Decision_volatility_changed,2021-11-08 10:10:00.097552+00:00,1636366200,6,"{'volatility': 2, 'old_volatility': 3, 'secs_since_round_starts': 6}",nan,nan,,2.0
03uv6wi9,w326f36h,4,0.1,Trade_starts,2021-11-08 10:10:02.790319+00:00,1636366202,0,"{'currentPrice': 102.135, 'priceIndex': 10, 'secs_since_round_starts': 0}",102.135,10.0,,
03uv6wi9,w326f36h,4,0.1,slider value changed,2021-11-08 10:10:41.072877+00:00,1636366241,38,"{'sliderValue': 0, 'currentPrice': 111, 'priceIndex': 80, 'secs_since_round_starts': 38}",111.0,80.0,0.0,
03uv6wi9,w326f36h,4,0.1,show confirming dialog,2021-11-08 10:10:41.128641+00:00,1636366241,38,"{'currentPrice': 111, 'priceIndex': 80, 'secs_since_round_starts': 38}",111.0,80.0,,
03uv6wi9,w326f36h,4,0.1,Sell,2021-11-08 10:10:41.986285+00:00,1636366241,39,"{'currentPrice': 111, 'priceIndex': 80, 'secs_since_round_starts': 39}",111.0,80.0,,
03uv6wi9,w326f36h,4,0.1,Trade_ends,2021-11-08 10:10:42.041349+00:00,1636366242,39,"{'currentPrice': 111, 'priceIndex': 80, 'secs_since_round_starts': 39}",111.0,80.0,,
03uv6wi9,w326f36h,5,0.15,Decision_starts,2021-11-08 10:10:49.597633+00:00,1636366249,0,{'secs_since_round_starts': 0},nan,nan,,
03uv6wi9,w326f36h,5,0.15,Decision_volatility_changed,2021-11-08 10:10:50.396498+00:00,1636366250,1,"{'volatility': 3, 'old_volatility': None, 'secs_since_round_starts': 1}",nan,nan,,3.0
03uv6wi9,w326f36h,5,0.15,Decision_ends,2021-11-08 10:10:52.178382+00:00,1636366252,3,{'secs_since_round_starts': 3},nan,nan,,
03uv6wi9,w326f36h,5,0.15,Trade_starts,2021-11-08 10:10:53.230169+00:00,1636366253,0,"{'currentPrice': 102.843, 'priceIndex': 10, 'secs_since_round_starts': 0}",102.843,10.0,,
03uv6wi9,w326f36h,5,0.15,sharpChangeDetected,2021-11-08 10:11:13.780841+00:00,1636366273,21,"{'value': 79.857, 'position': 40, 'currentPrice': 119.09, 'priceIndex': 50, 'secs_since_round_starts': 21}",119.09,50.0,,
03uv6wi9,w326f36h,5,0.15,slider value changed,2021-11-08 10:12:09.301434+00:00,1636366329,76,"{'sliderValue': 1, 'currentPrice': 102.829, 'priceIndex': 150, 'secs_since_round_starts': 76}",102.829,150.0,1.0,
03uv6wi9,w326f36h,5,0.15,slider value changed,2021-11-08 10:12:24.060439+00:00,1636366344,91,"{'sliderValue': 0, 'currentPrice': 109.505, 'priceIndex': 180, 'secs_since_round_starts': 91}",109.505,180.0,0.0,
03uv6wi9,w326f36h,5,0.15,show confirming dialog,2021-11-08 10:12:24.133269+00:00,1636366344,91,"{'currentPrice': 109.505, 'priceIndex': 180, 'secs_since_round_starts': 91}",109.505,180.0,,
03uv6wi9,w326f36h,5,0.15,Sell,2021-11-08 10:12:24.965563+00:00,1636366344,92,"{'currentPrice': 109.505, 'priceIndex': 180, 'secs_since_round_starts': 92}",109.505,180.0,,
03uv6wi9,w326f36h,5,0.15,Trade_ends,2021-11-08 10:12:25.023816+00:00,1636366345,92,"{'currentPrice': 109.505, 'priceIndex': 180, 'secs_since_round_starts': 92}",109.505,180.0,,
03uv6wi9,w326f36h,6,0.5,Decision_starts,2021-11-08 10:12:28.363971+00:00,1636366348,0,{'secs_since_round_starts': 0},nan,nan,,
03uv6wi9,w326f36h,6,0.5,Decision_volatility_changed,2021-11-08 10:12:30.060960+00:00,1636366350,2,"{'volatility': 10, 'old_volatility': None, 'secs_since_round_starts': 2}",nan,nan,,10.0
03uv6wi9,w326f36h,6,0.5,Trade_starts,2021-11-08 10:12:32.745135+00:00,1636366352,0,"{'currentPrice': 108.161, 'priceIndex': 10, 'secs_since_round_starts': 0}",108.161,10.0,,
03uv6wi9,w326f36h,6,0.5,sharpChangeDetected,2021-11-08 10:12:42.737095+00:00,1636366362,10,"{'value': 22.473, 'position': 27, 'currentPrice': 105.715, 'priceIndex': 30, 'secs_since_round_starts': 10}",105.715,30.0,,
03uv6wi9,w326f36h,6,0.5,sharpChangeDetected,2021-11-08 10:12:58.478042+00:00,1636366378,26,"{'value': 30.965, 'position': 57, 'currentPrice': 26.292, 'priceIndex': 60, 'secs_since_round_starts': 26}",26.292,60.0,,
03uv6wi9,w326f36h,6,0.5,sharpChangeDetected,2021-11-08 10:13:08.991644+00:00,1636366388,36,"{'value': 7.988, 'position': 79, 'currentPrice': 37.564, 'priceIndex': 80, 'secs_since_round_starts': 36}",37.564,80.0,,
03uv6wi9,w326f36h,6,0.5,sharpChangeDetected,2021-11-08 10:13:30.185514+00:00,1636366410,58,"{'value': 2.193, 'position': 111, 'currentPrice': 10.458, 'priceIndex': 120, 'secs_since_round_starts': 58}",10.458,120.0,,
03uv6wi9,w326f36h,6,0.5,Trade_ends,2021-11-08 10:14:38.869923+00:00,1636366478,126,"{'currentPrice': 5.412, 'priceIndex': 250, 'secs_since_round_starts': 126}",5.412,250.0,,
03uv6wi9,w326f36h,7,0.45,Decision_starts,2021-11-08 10:14:43.184875+00:00,1636366483,0,{'secs_since_round_starts': 0},nan,nan,,
03uv6wi9,w326f36h,7,0.45,Decision_volatility_changed,2021-11-08 10:14:44.504657+00:00,1636366484,1,"{'volatility': 9, 'old_volatility': None, 'secs_since_round_starts': 1}",nan,nan,,9.0
03uv6wi9,w326f36h,7,0.45,Trade_starts,2021-11-08 10:14:47.202122+00:00,1636366487,0,"{'currentPrice': 111.07, 'priceIndex': 10, 'secs_since_round_starts': 0}",111.07,10.0,,
03uv6wi9,w326f36h,7,0.45,slider value changed,2021-11-08 10:14:54.295797+00:00,1636366494,7,"{'sliderValue': 0, 'currentPrice': 118.174, 'priceIndex': 20, 'secs_since_round_starts': 7}",118.174,20.0,0.0,
03uv6wi9,w326f36h,7,0.45,show confirming dialog,2021-11-08 10:14:54.370565+00:00,1636366494,7,"{'currentPrice': 118.174, 'priceIndex': 20, 'secs_since_round_starts': 7}",118.174,20.0,,
03uv6wi9,w326f36h,8,0.2,Decision_starts,2021-11-08 10:14:58.817745+00:00,1636366498,0,{'secs_since_round_starts': 0},nan,nan,,
03uv6wi9,w326f36h,8,0.2,Decision_volatility_changed,2021-11-08 10:15:00.605660+00:00,1636366500,2,"{'volatility': 4, 'old_volatility': None, 'secs_since_round_starts': 2}",nan,nan,,4.0
03uv6wi9,w326f36h,8,0.2,Trade_starts,2021-11-08 10:15:04.163420+00:00,1636366504,0,"{'currentPrice': 98.807, 'priceIndex': 10, 'secs_since_round_starts': 0}",98.807,10.0,,
